,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
0,prerank,KRAS.KIDNEY_UP.V1_UP,-0.5135975361548196,-2.342977541148399,0.0,0.0,0.0,51/129,15.59%,SCG3;SNAP25;SLC6A15;GCGR;CRYAB;AQP4;ERC2;GAP43;GPRC5B;DYNC1I1;GRIK2;HPCAL4;FGF9;NRCAM;SFRP1;PMP2;CDK5R1;SPARCL1;GPM6A;TCEAL2;NRXN1;CAB39L;HEY1;TRIM9;SIGLEC15;KCNJ8;SERPINI1;GHRH;KIF5C;RCAN2;ALDH1A1;RTN1;ETV1;ITGBL1;TMEM100;TMOD1;NUDT11;ANK2;NAP1L2;SORBS1;ATP1A2;NMNAT2;GABRA5;SYT1;PNMA2;SLC6A1;PCP4;SV2B;TUBB4A;DUSP6;ASPA
1,prerank,KRAS.300_UP.V1_UP,-0.45067293973892597,-2.131070768777904,0.0,0.0,0.0,48/127,17.31%,SCG3;SNAP25;SLC6A15;COL26A1;APOD;ASTN1;DCBLD2;WNT7A;ERC2;DYNC1I1;TERT;FGF9;NRCAM;CDK5R1;ANGPTL4;HEY1;SIGLEC15;MMP11;DBH;KIF5C;RCAN2;RTN1;ETV1;ITGBL1;OR2B6;NAP1L2;GRIN2A;ATP1A2;ETV5;APOBEC3G;RNASE1;HAS2;SYT1;TFPI;ANO1;ADAM8;PCP4;ARHGAP24;KCNH2;ZP4;DUSP6;NAV3;SEMA3A;KIF5A;SPP1;KCNK7;FABP3;SNAP91
2,prerank,CAHOY_NEURONAL,-0.48521076472082003,-2.0979984654069948,0.0,0.0,0.0,35/90,19.90%,CELF4;HPCA;MYH3;CAMK2B;JPH4;SYT4;CAMKV;DRD1;SCG2;LAMP5;DYNC1I1;FGF9;GABRG2;GABRD;AMER3;PENK;RGS4;SLC35F4;RPRML;SYT5;GRP;SLC6A17;GABRA5;RASGEF1A;CNTNAP4;NEFM;SYT1;SH2D5;SV2B;FABP3;NWD2;KIAA0319;CPNE4;ENO2;CRHBP
3,prerank,LEF1_UP.V1_UP,-0.4422010808131856,-2.088044576070773,0.0,0.0,0.0,87/185,24.63%,IGFBP6;KRT81;HEY2;RGCC;SCN5A;HSPA1A;FOSL1;PCSK5;FLNC;ARHGAP4;PRPH;KRT76;FGF9;NELL2;C14orf132;FHL1;MYL9;SERPINE1;TCHH;EGR2;CDKN2A;OBSL1;CRABP2;RUNX3;PAX6;DBN1;FBXO17;TUBB2B;ISYNA1;SLIT1;AKAP12;SLC43A3;TMOD1;COL6A1;MIA;NES;FN1;NMNAT2;FNBP1;CHST10;TMEM47;CST7;APOBEC3G;TH;FGF3;GNAL;DLL3;HAS2;ZFPM2;SLC2A3;TCEA2;ANO1;VIM;LCK;ARC;CYBRD1;PLEKHO1;LTBP2;TREML2;PMEPA1;FJX1;PRF1;MAP1B;TULP2;DCLK1;HOXB2;DKK1;DENND1C;WT1;ELK3;G0S2;RAI2;GNG4;KCNJ12;MAOB;TGM2;BMP7;RRAGD;STC2;ZNF22;SLC35G2;FOXG1;EDAR;PLTP;PARVB;AXL;PCSK1N
4,prerank,KRAS.600_UP.V1_UP,-0.368342815745751,-1.853712153783191,0.0,0.002549019607843137,0.01,78/250,17.31%,SCG3;SNAP25;SLC6A15;COL26A1;GFAP;APOD;TAGLN3;ASTN1;LDB3;DCBLD2;ANKRD34C;WNT7A;ERC2;PFKFB1;DYNC1I1;MLXIPL;TERT;REEP2;MMP17;FGF9;NRCAM;CDK5R1;ANGPTL4;ARL4C;HEY1;SIGLEC15;DIRAS2;MMP11;KCNJ8;CEND1;DBH;KCNK3;VEGFC;KIF5C;CSN2;ST18;ESM1;PMS2P4;RCAN2;RTN1;SLIT1;ETV1;CHRNA3;ITGBL1;OR2B6;CPA2;NAP1L2;GRIN2A;ATP1A2;ETV5;NMNAT2;TRIM45;CTNND2;APOBEC3G;RNASE1;HAS2;SYT1;PNMA2;TFPI;ANO1;LGALS14;ADAM8;PCP4;PRL;ADCYAP1R1;ZDHHC11;ARHGAP24;KCNH2;ZP4;DUSP6;NAV3;SEMA3A;KIF5A;SPP1;KCNK7;FABP3;ZEB1;SNAP91
5,prerank,TBK1.DF_DN,0.3509481763954036,1.849057819384181,0.0,0.005936675461741424,0.01,115/273,27.19%,SLC39A8;ERAP1;MPHOSPH9;ANKFY1;AGFG1;IDE;TNRC6B;ETNK1;PANK3;IL1RN;GALNT7;DNAJC16;COPS4;ZNF557;PRKRA;PSMB9;DNAJC3;NRIP1;CXADR;PSMB8;ITCH;GALNT3;SLC22A5;GNPDA1;CCNE2;ZZZ3;CHMP2B;CDC27;SNTB2;DSN1;CLN5;MYO6;AFF4;ITGA2;CRK;HOOK1;GTPBP8;CLOCK;PRKD3;DCK;TBK1;PLEKHA2;SMG1;ZNF395;IL1RL1;DDX60;ARFGEF2;AMMECR1;NAA15;RCC1;KPNA6;SMAD5;DCP2;HMGCS1;GNAI3;CBX5;UBXN8;PAFAH1B3;SMC5;ZNF654;SCAF11;DNAJB14;LETM1;UGGT1;ELL2;CLEC16A;MIS18BP1;AKAP9;RLF;NDUFA13;ZCCHC10;FNBP1L;DICER1;ACAP2;DENND1B;ATP2B1;RPS6KB1;SMURF2;RIF1;NME6;TFAM;KLF5;HIPK2;SLC35A5;NCOA3;GOLGA4;HNRNPA0;KATNBL1;MED13L;CCND2;RFX7;ROCK2;NF1;BRWD1;EXOC5;ATG2B;SPDL1;CUL5;GEMIN4;UBXN4;ZC2HC1A;GOLT1B;NAA35;NSMAF;CDCA4;YES1;VRK1;AP1AR;GTF2A1;KIF14;LIMS1;YTHDF2;POLR3B;MBP;USP46
6,prerank,KRAS.50_UP.V1_UP,-0.46974396180559164,-1.8205288914717648,0.0,0.004248366013071895,0.02,12/42,8.32%,SCG3;SNAP25;DYNC1I1;TERT;FGF9;NRCAM;ANGPTL4;HEY1;SIGLEC15;MMP11;KIF5C;ETV1
7,prerank,ATM_DN.V1_UP,-0.39924126840170876,-1.8192628151585517,0.0,0.003641456582633053,0.02,40/135,14.07%,NGFR;TNNT3;ENO3;TTR;SNCB;MYOM1;CD36;BCHE;GCM1;CD19;XCL1;SPAG4;TRAF1;CRHR2;FSTL3;SRD5A1;MYL2;VAV2;RSPH6A;SYN1;NDRG4;GPR162;NFKBIL1;OCM;PHKG1;PPL;TXK;BDNF;FGF5;HPR;F13A1;ABCA8;FLT1;LHB;ADARB1;VEGFA;SARDH;PRODH2;PIDD1;SLC6A1
8,prerank,VEGF_A_UP.V1_DN,0.3502839336697467,1.7995639286773149,0.0,0.002968337730870712,0.01,92/187,31.13%,RAB3B;HMMR;SLC4A7;TRIM25;PTPRD;BCL10;PSD3;CCNB1;ZNF124;MAD2L1;AMD1;MFAP3;PTPRE;NBN;DLEU1;BUB1;MKLN1;UCHL3;MT1X;CDC27;CEBPZ;DDX21;NUDT21;RP2;CPA3;ITGA2;RRM2;SMC4;DHFR;SLC30A9;ACADM;PLK4;IL1RL1;CYB561D2;POP1;CCNH;TMPO;DLGAP5;FKBP5;GABBR2;SCAF11;NUP155;AMPH;BIRC5;TGFBI;DBF4;ASPH;MCM4;MAPK6;MRPL19;CENPE;IPO5;HIRA;IL6;CDC45;CBL;RIF1;TFAM;NCOA3;CSE1L;ATP13A3;LRP8;KIF11;BAK1;ITGB3;TRAPPC8;TTK;BCLAF1;EIF2S3;ADAM9;YES1;VRK1;PRPF40A;NUP50;CHM;RASA2;SLC7A2;RECQL;EXO1;SULT1B1;RPGR;PNO1;CTNNAL1;CCNB2;ZNF253;LMNB1;TWF1;MDN1;ARMC6;SEL1L;UAP1;RNF6
9,prerank,PRC2_SUZ12_UP.V1_UP,-0.3827209117027545,-1.7974168142216718,0.0,0.0031862745098039215,0.02,34/168,9.18%,RPL3L;SEMA3E;KRT81;SLC6A15;ACTL8;GRIN2C;MYL3;NKX6-1;PAQR6;DCBLD2;IL1RL2;CA11;NGB;PPFIA4;FGF9;KRI1;CD70;CAB39L;ARL4C;KRT15;POLM;CNPY4;PCBP3;TRIM58;SERGEF;ST18;FOLR3;GRP;CBX7;CYP1B1;PKD2L1;SLC39A2;MYT1;GGT5
