Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,CSR_LATE_UP.V1_DN,0.3625864111684961,2.0885659151600917,0.0,0.0,0.0,42/138,17.13%,FDFT1;CCL11;HMGCR;MAMLD1;STARD4;SOD2;LONRF1;IL1B;BCL10;ELOVL6;ALPI;ACKR4;HMGCS1;FADS2;TBC1D2B;MSMO1;DENND2A;PAMR1;TOX;CCL2;LPIN1;CHST2;EPSTI1;L1CAM;FTH1;VAMP5;PLCD1;CHL1;ACVRL1;PDE5A;DDX60L;IDI1;CLEC3B;ADAM17;KLHL29;FDPS;SC5D;UBE2L6;MRGPRF;EXOC6;IGDCC4;ADORA2B
prerank,HINATA_NFKB_IMMU_INF,0.647850513302071,2.0358181908530915,0.0,0.0,0.0,7/15,5.72%,CXCL8;IL1B;IL6;CXCL3;CXCL2;NFKB1;PTX3
prerank,EGFR_UP.V1_UP,0.3434520969356574,1.9674323672256735,0.0,0.0,0.0,57/184,13.85%,MMP10;CCL22;WNT5A;SLC4A7;S100P;SEL1L3;SLC12A2;MMP1;GLRX;FGB;EPAS1;F2RL1;FNDC3B;NT5C2;WIPI1;PTPRE;CCDC68;BACE2;PSMB9;ETS2;KLF4;GK;CASP7;SEC23A;CXADR;GCLM;PSMB10;SGMS1;KCNS3;ETHE1;IMPA1;SDCBP;PGM3;CCL2;ASPH;KRT7;LPIN1;GABBR2;ITGA2;RAB27A;CEACAM6;EDN1;CBLB;SLCO2A1;ELL2;TAP1;ARFGAP3;SPAG1;CTNNAL1;RND1;SGPP1;S100A8;IRF1;HSPA2;IL1R1;S100A9;PIGA
prerank,PGF_UP.V1_UP,0.28117418695319374,1.7161817685796896,0.0,0.04025974025974026,0.02,45/181,14.93%,PTGS2;MMP10;NAT1;MTM1;CCL22;TFPI2;SLC4A7;ADAM9;CPA3;MIPEP;HSD17B4;CPD;TMED5;XIST;DNAJC3;HSPA13;CEBPZ;HS2ST1;CDC27;SGMS1;GMFB;SMC4;SUCLA2;ZZZ3;ITGA2;ATP2A3;AGA;ACADM;RCBTB2;AMPH;ASCC3;MAPK6;CRYBG3;CREB1;RNF6;RECQL;HIF1A;IL6ST;TNFSF10;PPAT;DNAJB9;AHCYL2;CD2AP;ABCE1;TAF9
prerank,HOXA9_DN.V1_UP,0.3360762957844085,1.6724608402869368,0.0,0.032207792207792206,0.02,77/177,23.43%,CXCL8;ADAM9;NOD2;GALNT7;FBXL5;ENTPD4;TDRD7;IL13RA1;CXCR2;CSNK1G3;PAQR3;ARHGAP26;RBM47;FNDC3B;XPC;CDK8;MS4A3;PTPRE;CCR2;CHI3L1;KLF4;TPK1;SESN1;CHUK;ZFYVE16;NDFIP1;FAS;FNDC3A;SERPINB8;HLA-DRA;FGL2;STX12;MSRB1;RCBTB2;SLC26A2;ASCC3;SORL1;TSEN34;ICAM3;CRY1;TAX1BP3;TNFRSF10B;S100A8;MS4A6A;FUCA1;S100A9;ERLIN2;GLIPR1;RNF11;STK39;CD209;OSTM1;SLC39A6;MNDA;AGTPBP1;THBD;FRY;TWF1;SAR1B;SNX10;GAS7;UGGT2;USP15;IFT74;KIAA0232;ATXN1;TICAM1;RABAC1;CSPG4;FOS;TOB1;PLAA;SGK3;LY96;THEMIS2;SAMHD1;CYLD
prerank,BCAT_BILD_ET_AL_DN,0.3792854324506729,1.625907075784451,0.047619047619047616,0.02683982683982684,0.02,18/45,16.84%,IL1A;PTHLH;TNFAIP3;GCLM;ANKRD28;SRSF1;SORL1;SMURF2;PUM1;ARHGAP29;CTBP2;FRYL;IL1RAP;ARPC2;ZSWIM6;SMAD5;ATP10D;IRAK2
prerank,CAHOY_NEURONAL,-0.44499442599963873,-1.5760950155808484,0.0,0.17470881863560733,0.22,39/92,27.90%,CELF4;HPCA;SYT4;JPH4;CAMKV;MYH3;GABRD;CAMK2B;LAMP5;RPRML;DYNC1I1;FGF9;SCG2;GABRA5;SYT5;CNTNAP4;SYT1;GRP;RASGEF1A;SLC6A17;STX1A;LIN7B;RASL10A;HS3ST2;COL19A1;BCL11A;KIAA0319;FABP3;TRHDE;NRGN;ENO2;SLC6A7;KRT222;MYT1L;CPNE4;NAPB;SLC25A22;NWD2;RTN4RL1
prerank,ATF2_UP.V1_DN,0.2855243609961121,1.5736762385461063,0.0,0.03450834879406308,0.03,53/172,17.97%,PTGS2;CCL11;SLC39A8;CD1B;GSR;EIF2AK3;TCF21;RAB11FIP1;HAPLN1;UBXN2B;CD302;PKP2;VTN;FMOD;CHI3L1;PTGFR;CFB;HS2ST1;PTX3;CELF2;PDPN;TPD52;AFF1;RBL2;HKDC1;CDH13;CCL2;IL33;ZC3H12A;PLS1;SIK1;TREM1;MRPL44;ERAP2;KCNJ2;MYO1D;EDIL3;KCTD12;SLC25A15;ITIH5;IL1R1;IL1RAP;DENND4C;VCAM1;EVC;RPS6KB1;SLC12A8;SLC24A3;PLA2G4A;ADORA2B;PLSCR4;FRY;SPINT2
prerank,EIF4E_DN,0.3354494260296838,1.558749596422606,0.0,0.030194805194805194,0.03,24/93,12.16%,PTGS2;NCOA7;CLDN23;ADAM9;CLINT1;CLTC;SORT1;NPEPPS;FNDC3B;APPBP2;MCPH1;TPD52;GALNT5;FAS;FZD3;RCBTB2;SGPP2;SCAMP1;SIK3;DIP2B;PRDX4;DCTN4;EPDR1;CASP10
prerank,RB_P130_DN.V1_DN,0.26773513887273526,1.547972291199083,0.0,0.044733044733044736,0.05,43/128,19.17%,ERAP1;C3orf70;ZDHHC20;DDX46;SOX21;EVI5;CAPZA2;MFN1;SLC2A1;SEC23A;TMEM123;ANKFY1;GUCA2A;RB1;C9orf72;TXNDC9;ZMPSTE24;B2M;PARP9;KIF16B;EIF2S2;SCAMP1;GLO1;MORC3;BNC1;CTSK;UBXN4;SLC35F6;TFB2M;IDI1;SCEL;LARP1B;RAB8B;GNAI3;FAM32A;ARRDC4;ATP6AP2;SEC24C;HACD2;CTSC;KLK6;RASA1;TMEM140
prerank,SRC_UP.V1_UP,-0.3912590366615745,-1.5019436893778582,0.010752688172043012,0.2271214642262895,0.48,71/157,33.84%,COL26A1;KCNH3;POU3F2;MORN3;PRR3;RPRM;TMEM88;SLC4A9;MLXIPL;STAC3;PFKFB1;ARRDC1-AS1;TTC21A;COX4I2;MMP16;LEKR1;MIOX;CD70;SYN1;APC2;CLDN9;PACSIN3;BCRP3;DLL3;BRWD1-AS1;TFR2;CEACAM19;CCDC65;ATP8A2;BAHD1;MTMR9LP;FES;AIM2;PDZD7;AAAS;ANGPTL6;MED10;CAPS;FGF23;OPRL1;VPS37D;MAMDC4;SUGCT;TAF3;ESR2;RAB3A;C19orf73;LAMP3;WTIP;TECTA;TMUB1;SLC25A22;CLIP3;SLC26A1;SMTNL1;TM4SF5;MAPK8IP2;RNASE1;PRADC1;TMEM11;SMO;ICAM5;DLGAP1-AS2;RFXANK;NPC1L1;AADAC;TONSL;PI16;ACAP1;HPX;FMN2
prerank,STK33_SKM_UP,0.2495343779363922,1.4839077978899162,0.0,0.06441558441558441,0.08,71/242,17.93%,IL1A;NAMPT;TMEM71;TFPI2;NFKBIZ;MFAP3;IL15;GPR34;IL1B;ERMAP;LMBRD2;NMNAT1;MXD1;EVI5;CD101;TNF;CD58;KLF6;RNF141;ACSL6;THAP1;MPEG1;TLR1;GBP3;ASPH;BCL2A1;SQSTM1;FGL2;PLXNB2;RNF19B;STX12;RCBTB2;HINT3;SERAC1;P2RY14;SIPA1L2;GPR65;CYBB;KCNJ2;STOX2;ARRDC3;CTSK;ASB2;NFXL1;DUSP1;CCL4;IRF1;BBS12;AFF4;GLIPR1;ZNF675;ZBTB6;TRIM23;FCHO2;CRK;MYBPH;CPEB2;AMMECR1;TP53INP2;GDPD1;TMTC3;WDR19;PLCXD2;CALHM2;ARL5B;FGD4;CREB5;THBD;STAM2;TWF1;OSBPL11
